name,split,category,sub-category,Oneshot-Multi,freesound-id,url,username,original-tags,description
00026.wav,train,Click,Knock,Multi-shot,808949,https://freesound.org/people/jjohnsharpp/sounds/808949/,jjohnsharpp,"door, foley, knock, wood, wooden",Another door knock for this site. Made for a play that got cut. Let me know if you use it cause I am curious.
00027.wav,train,Metal,CoinJingle,Multi-shot,407144,https://freesound.org/s/407144/,contadordehistoriascast,"cash, coin, medium, spinning","Medium coin spinning on table, , (Recorded at studio with AT4033a), , , Sound available by Danilo Battistini from Contador de Histórias Podcast & FateCrafters Studio"
00028.wav,train,Liquid,Drip,Multi-shot,489747,https://freesound.org/people/ShadowSilhouette/sounds/489747/,ShadowSilhouette,"drip, faucet, water",water dripping from a faucet
00029.wav,train,Footstep,Run,Multi-shot,420441,https://freesound.org/people/Magdaadga/sounds/420441/,Magdaadga,"corridor, hall, run, step",Run along the corridor.
00030.wav,train,Footstep,Walk,Multi-shot,264470,https://freesound.org/people/aglinder/sounds/264470/,aglinder,"footstep, forest, leaves, running, undergrowth, walk, wood",Walking and running on leaves and twigs.
00031.wav,train,Footstep,Walk,Multi-shot,575896,https://freesound.org/people/VMan533/sounds/575896/,VMan533,"creaking, floor, footstep, stair, staircase, stairs, step, stone, wood, wooden",Recording of me walking down a very old wooden staircase and contiue walking through some other rooms with a stone floor and different room sices.
00032.wav,train,Click,SwitchToggle,One-shot,512502,https://freesound.org/people/ProdMultimediasHQI/sounds/512502/,ProdMultimediasHQI,"button, click, household-noise, switch",A rotary switch turen on and ogg
00033.wav,train,Footstep,Walk,Multi-shot,658926,https://freesound.org/people/uniuniversal/sounds/658926/,uniuniversal,"feet, flip-flops, foley, foot, footstep, ground, jungle, leafs, plants, slippers, step, walk",Walking with flip-flops in a jungle. Zoom H1
00034.wav,train,Human,EatDrink,Multi-shot,624775,https://freesound.org/people/augustclaire2211/sounds/624775/,augustclaire2211,"breath, drink, gulp, swallow, water","Gulping down water, you'll occasionally hear their breath and glass clinking. Recorded with Zoom H4n Pro."
00035.wav,train,Break/Drop,BoneBreak,Multi-shot,828921,https://freesound.org/people/haus.the.child/sounds/828921/,haus.the.child,"bone, bones, flesh, gore, horror, injury, kill","Bones Crunching For Body Horror. Someone gets vecna'd. Someone breaks a bone. Someone snaps their neck. Whatever you want it to be! In reality, it's just a party trick I can do with my ankles. Enjoy! :)"
00036.wav,train,Metal,MetalClank,One-shot,805734,https://freesound.org/people/CVLTIV8R/sounds/805734/,CVLTIV8R,"ambience, atmosphere, bang, bash, clang, clank, dump, dumping, dumpster, environment, foley, garbage, junk, junkyard, machine, metal, metallic, perc, robot, robotic, rubbish, scrape, smash, trash, tube, waste","Recording from the local Junkyard in Arcata, CA. Metallic bangs and clanks with machines running and some employees yelling in the distance. Garbage, Trash, dumping, and purposefully using various bits of metal to bop and clang eachother. Tubes, grates, bins, tanks etc.Recorded with my Tascam DR-05 Field Recorder and processed lightly with Reaper"
00037.wav,train,Footstep,Walk,Multi-shot,350897,https://freesound.org/people/thaighaudio/sounds/350897/,thaighaudio,"creak, creaking, footstep, staircase, stairs, step, walk, wood",Walking down two flights of stairs in the stairwell of my circa 1920s apartment building. Take 1 of 2. Recorded using an Audio Technica AT-4022 microphone (with Rycote windshield) into a Tascam DR-40 recorder.
00038.wav,train,Human,Cough,Multi-shot,446491,https://freesound.org/people/obooth3/sounds/446491/,obooth3,"cough, human, sickness, voice",Female voice that is coughing over a long period of time.
00039.wav,train,Material-Interaction,PenWriting,Multi-shot,796145,https://freesound.org/people/AfterDarkAnimation/sounds/796145/,AfterDarkAnimation,"pen, stroke, writing",Pen stroke on paper
00040.wav,train,Footstep,SingleStep,One-shot,272554,https://freesound.org/people/sturmankin/sounds/272554/,sturmankin,"footstep, run, running, step","Running on linoleum: low sneakers. Recorded with a ZOOM H2 in a basement of a house, normalized with Audacity."
00041.wav,train,Material-Interaction,PlasticRubbing,Multi-shot,765878,https://freesound.org/people/MattyCauldron/sounds/765878/,MattyCauldron,"home, plastic, rubbish-bag",It's the whip and crackle of the a new plastic rubbish bag.
00042.wav,train,Material-Interaction,ZipperZip,Multi-shot,740789,https://freesound.org/people/Beussa/sounds/740789/,Beussa,"tools, zip, zipper",A direct recording of a zipper.
00043.wav,train,Footstep,Walk,Multi-shot,218293,https://freesound.org/people/SpliceSound/sounds/218293/,SpliceSound,"female, flats, footstep, heels, kitchen, linoleum, tile, walk",Female in heels walking on tile
00044.wav,train,Material-Interaction,PlasticRubbing,Multi-shot,447396,https://freesound.org/people/florianreichelt/sounds/447396/,florianreichelt,"apart, bag, crinkle, crumble, crumple, crumpling, crush, noise, paper, plastic, plastic-bag, ripping, rustle, sheet, tear, tearing, wrapping","We recorded this sound while our trip through Japan. You can watch the travel video about Tokyo HERE: <a href=""https://youtu.be/QcGmpWx4DXQ"" rel=""nofollow"">https://youtu.be/QcGmpWx4DXQ</a> You can use this sound in your Project regardless if it is commercial or non-commercial but it would be awesome if you could tag my instagram account somewhere in the description: <a href=""https://www.instagram.com/florianreichelt/"" rel=""nofollow"">https://www.instagram.com/florianreichelt/</a> ALL SOUND EFFECTS HAVE BEEN RECORDED WITH THE H4N Pro: <a href=""https://amzn.to/2PACYyR"" rel=""nofollow"">https://amzn.to/2PACYyR</a> Leave a comment and tell me for which project you used it!! :) By the way - have you guys already checked out my latest Travel Video about Japan? If not you should definitely watch it: <a href=""https://youtu.be/QcGmpWx4DXQ"" rel=""nofollow"">https://youtu.be/QcGmpWx4DXQ</a> The city, the people and the overall culture are absolutely outstanding and they inspire you to travel as well. Stock Footage isn't dead! Make 2000$/month via BlackBox! Register now: <a href=""http://bit.ly/StockBlackBox"" rel=""nofollow"">http://bit.ly/StockBlackBox</a>"
00045.wav,train,Break/Drop,GlassBreak,One-shot,173560,https://freesound.org/people/gevaroy/sounds/173560/,gevaroy,"break, breaking-glass, indoor, window","breaking-glass, indoor, window, break"
00046.wav,train,Material-Interaction,TapePeel,One-shot,590295,https://freesound.org/people/MrFossy/sounds/590295/,MrFossy,"adhesive, crinkle, crinkling, docket, glue, glued, paper, pull, pulling, receipt, ripping, stick, sticker, sticky, stuck, tear, tearing",One of a series of foley recordings I made by sticking a piece of contact (sticky plastic of the kind you use to cover books) to a wall and tearing various household objects off it. The idea was to make a fairly comprehensive collection of rips and tears with varying timbral qualities that I could use to design UI sounds effects. Recorded with a Rode NT1 into a Universal Audio Arrow. This sound comes from a paper docket (called a receipt in US English).
00047.wav,train,Human,Slurping,Multi-shot,750154,https://freesound.org/people/DataJuggler/sounds/750154/,DataJuggler,"ai-generated, animal, dog, stableaudio",This sound of part of a collection of 100 AI-Generated sound effects I created using Stable Audio and Pinokio 2. This sound of a dog drinking water could also be the sound of a Reptilian creature walking or sloshing around.
00048.wav,train,Footstep,Walk,Multi-shot,381302,https://freesound.org/people/FabrizioRecchi/sounds/381302/,FabrizioRecchi,"audio-effects, foley, foot, footstep, gravel, rocks, walk","RAW sound of footsteps on lava rocks from the Etna vulcano, in Sicily. Recorded with Zoom H6 and Rode Ntg3."
00049.wav,train,Footstep,Walk,Multi-shot,369641,https://freesound.org/people/SpliceSound/sounds/369641/,SpliceSound,"barefoot, footstep, hardwood, walk, wood","Walking barefoot on a wood floor, slow pace"
00050.wav,train,Open/Close-Mechanism,DoorOpenClose,Multi-shot,174643,https://freesound.org/people/altfuture/sounds/174643/,altfuture,"closed, door, hard, slam, slammed",A few takes of door being slammed.
00051.wav,train,Open/Close-Mechanism,DoorOpenClose,Multi-shot,819669,https://freesound.org/people/Ultra-Edward/sounds/819669/,Ultra-Edward,"car, car-door, close, closing, door, foley, open, vehicle",The sound of opening and closing a car door
00052.wav,train,Liquid,Faucet,Multi-shot,466545,https://freesound.org/people/bitlab_coop/sounds/466545/,bitlab_coop,"ambience, bathroom, fabraicoats, sound-identity, water",Recorded at Fabra i Coats for Calidoscopi 2019.
00053.wav,train,Footstep,Walk,Multi-shot,705746,https://freesound.org/people/felix.blume/sounds/705746/,felix.blume,"california, footstep, gravel, house, hum, pathway, road, sand, sneakers, step, todossantos, walk",Close recording of footsteps wearing sneakers walking on sand gravel pathway near a house in Todos Santos with road hum Sound recorded by a MS setup Schoeps CCM41+CCM8 Sound Devices 744T recorder Sound reference: KT_111117T007 Recorded in November 2011
00054.wav,train,Metal,Latch,Multi-shot,452608,https://freesound.org/people/kyles/sounds/452608/,kyles,"basement, cellar, door, heavy, latch, metal, nearby, old, open, roomy, wood",door wood old heavy cellar door with metal latch in basement open nearby roomy various.wav
00055.wav,train,Liquid,Drip,One-shot,265360,https://freesound.org/people/lmr9/sounds/265360/,lmr9,"drip, dripping, faucet, sink, water",Dripping faucet into the sink.
00056.wav,train,Break/Drop,MetalDrop,Multi-shot,548237,https://freesound.org/people/cyoung510/sounds/548237/,cyoung510,"can, can-tin, cement, drop, floor",A metal can dropped on a cement floor
00057.wav,train,Footstep,SingleStep,One-shot,504349,https://freesound.org/people/Joao_Janz/sounds/504349/,Joao_Janz,"barefoot, boots, dirt, fast, feet, floor, foley, foot, footstep, forest, gravel, ground, hard, nature, outdoor, park, real, running, shoe, slide, slow, sneakers, soft, sound, stepping, walk",Recorded and processed at 24bit 48kHz using the Tascam DR-40 Linear PCM Recorder. Processing: Gain-staging and soft high and low frequency filtering. No EQ boost or cuts anywhere else. Also De-noised.
00058.wav,train,Footstep,Walk,Multi-shot,385380,https://freesound.org/people/savataivanov/sounds/385380/,savataivanov,"foot, footstep, macadam, outdoor, step, walk",For contact: savataivanov@gmail.com
00059.wav,train,Human,Burp,One-shot,215359,https://freesound.org/people/Reitanna/sounds/215359/,Reitanna,"belch, burp, human",more burps
00060.wav,train,Material-Interaction,PenWriting,Multi-shot,551688,https://freesound.org/people/Joao_Janz/sounds/551688/,Joao_Janz,"book, brush, close, cover, drawing, foley, hand, laying, open, pack, paper, pen, sideways, slide, sliding, sound, tap, tapping, thick, thin, turn, upright, writing",The recordings found in this foley pack are all original recordings made by myself and they are intended for free public use to help content creators with their commercial or non-commercial projects. They are not intended for redistribution and misappropriation with monetary gain in mind. Microphones used: - Rode M5 Stereo Pair Processing applied: - Minimal Low-freq. filtering - Denoising where necessary These recordings were made with the best of intentions and with the limited resources so do not expect professional studio recorded foley. Thank you and enjoy!
00061.wav,train,Metal,Knife,One-shot,472485,https://freesound.org/people/JoseAgudelo/sounds/472485/,JoseAgudelo,"iron, killer, knife, psycho, slash, sword, weapon","This knife is inoffensive, the person that grabs it doesn婵犲痉鏉挎盯宕熼柛"
00062.wav,train,Click,Knock,Multi-shot,383761,https://freesound.org/people/deleted_user_7146007/sounds/383761/,deleted_user_7146007,"door, knock, knocking",Knocking Knock on a Door
00063.wav,train,Metal,CoinJingle,Multi-shot,112813,https://freesound.org/people/Julien_Matthey/sounds/112813/,Julien_Matthey,"coin, machine",Coin falling from a Coca-Cola bottle machine
00064.wav,train,Human,Kiss,Multi-shot,519572,https://freesound.org/people/LilMati/sounds/519572/,LilMati,"adlib, adlibs, bright, cartoon, cheerful, fun, game, kiss, lip, lips, movie, notification, playful, positive, tiktok",Used to make these soundzz during high school lessons when i was bored in the classroom !! NOTE: Make sure to check out the other sounds! The sound quality is <b>always</b> better when you download the sound(s)! 鐚 ///Lil Mati
00065.wav,train,Material-Interaction,WhiteboardWriting,Multi-shot,335936,https://freesound.org/people/newagesoup/sounds/335936/,newagesoup,"draw, drawing, dry-erase, foley, marker, pen, pencil, scribble, whiteboard, writing","Writing on a whiteboard. Cut up, EQ'd and compressed this sound: <a href=""http://freesound.org/people/edctrainer/sounds/251677/"" rel=""nofollow"">http://freesound.org/people/edctrainer/sounds/251677/</a>"
00066.wav,train,Click,SwitchToggle,One-shot,718692,https://freesound.org/people/ccovi/sounds/718692/,ccovi,"click, flick, light, switch",A small light switch being flicked on and off.
00067.wav,train,Footstep,Walk,Multi-shot,378056,https://freesound.org/people/bajko/sounds/378056/,bajko,"boots, crunch, feet, foley, foot, footstep, freeze, ice, snow, step, walk, winter",Walking on snow. Many different versions. Recorded by Olympus LS-11.
00068.wav,train,Footstep,SingleStep,One-shot,272138,https://freesound.org/people/sturmankin/sounds/272138/,sturmankin,"footstep, step","Running on ceramic tiles: light shoes. Recorded with a ZOOM H2 in a bathroom of a house, normalized with Audacity."
00069.wav,train,Clothing,ClothRubbing,Multi-shot,338213,https://freesound.org/people/unreadpages/sounds/338213/,unreadpages,"cloth, coat, creaking, garment, jacket, leather, leather-coat, movement, rustle",Soft creaking made by heavy leather jacket moving
00070.wav,train,Open/Close-Mechanism,DoorOpenClose,Multi-shot,583238,https://freesound.org/people/Profispiesser/sounds/583238/,Profispiesser,"apartment, close, door, far, livingroom, old, open, versions, wood",Old Wood Door 13 Apartment Livingroom Rattle Open Close 4 Versions Far
00071.wav,train,Footstep,Walk,Multi-shot,264474,https://freesound.org/people/aglinder/sounds/264474/,aglinder,"dirt, footstep, grit, running, sand, walk",Walking and running on grit/sand.
00072.wav,train,Footstep,Walk,Multi-shot,560718,https://freesound.org/people/cupido-1/sounds/560718/,cupido-1,"cartoon, feet, floor, foot, footstep, ground, step, walk",imitation walking for a animations and cartoons project sometimes jumping changing tempo
00073.wav,train,Metal,Lock,Multi-shot,541089,https://freesound.org/people/Chelly01/sounds/541089/,Chelly01,"jangling, key, lock, locking, unlocking",The process of taking keys to unlock a lock and then locking it again. Recorded with a Rode NT5 microphone in a sound booth.
00074.wav,train,Footstep,Walk,Multi-shot,378056,https://freesound.org/people/bajko/sounds/378056/,bajko,"boots, crunch, feet, foley, foot, footstep, freeze, ice, snow, step, walk, winter",Walking on snow. Many different versions. Recorded by Olympus LS-11.
00075.wav,train,Footstep,Walk,Multi-shot,381302,https://freesound.org/people/FabrizioRecchi/sounds/381302/,FabrizioRecchi,"audio-effects, foley, foot, footstep, gravel, rocks, walk","RAW sound of footsteps on lava rocks from the Etna vulcano, in Sicily. Recorded with Zoom H6 and Rode Ntg3."
00076.wav,train,Material-Interaction,PenWriting,Multi-shot,321133,https://freesound.org/people/elliott.klein/sounds/321133/,elliott.klein,"arrow, drawing, felt-tip, fineliner, pen, writing",Drawing an arrow with an Artline 204 FAXBLAC 0.4 fineline pen. Recorded using an AKG Blue Line se300b/ck93 mic.
00077.wav,train,Break/Drop,IceBreak,Multi-shot,380250,https://freesound.org/people/Glitchedtones/sounds/380250/,Glitchedtones,"freezer, household, ice, kitchen, knife, scrape",Scraping freezer ice with a knife
00078.wav,train,Footstep,Walk,Multi-shot,529224,https://freesound.org/people/UnplugTheFridge/sounds/529224/,UnplugTheFridge,"dirt, footstep, run, step, walk","Hiking shoes. Walking then running on gritty soil and some pine needles. Very crunchy stompy sound. A few bird in the background, as this was recorded outdoors."
00079.wav,train,Metal,CoinJingle,One-shot,718435,https://freesound.org/people/yossirafa100/sounds/718435/,yossirafa100,"coins, foley, money, video-game","Recording of me boucing a few coins together inside my pocket, recorded with a Rode NT1 in 44.1kHz, 24bit, Stereo"
00080.wav,train,Human,Burp,Multi-shot,515796,https://freesound.org/people/Ben_0815/sounds/515796/,Ben_0815,"belch, burp, disgusting, loud",outtake during a stream
00081.wav,train,Metal,Lock,Multi-shot,389434,https://freesound.org/people/RossBell/sounds/389434/,RossBell,"bolt, creak, door, lock, metal, open, squeak, squeaky",Squeaky metal bolt lock.
00082.wav,train,Break/Drop,IceBreak,Multi-shot,263930,https://freesound.org/people/JarredGibb/sounds/263930/,JarredGibb,"break, cold, crack, foot, footstep, freeze, frost, frozen, gibb, ice, jarred, snow, sound, step, walk, winter",Ice 5 - Slow Derived From a Wildtrack whilst recording some ambiences - Jarred Gibb
00083.wav,train,Footstep,Walk,Multi-shot,272253,https://freesound.org/people/sturmankin/sounds/272253/,sturmankin,"boots, concrete, footstep, step, walk","Walking on concrete: boots. Recorded with a ZOOM H2 in a basement of a house, normalized with Audacity."
00084.wav,train,Human,Cough,One-shot,252219,https://freesound.org/people/Reitanna/sounds/252219/,Reitanna,"clear, clearing, cough, throat",real clearing of throat
00085.wav,train,Footstep,Walk,Multi-shot,679104,https://freesound.org/people/IlMotografo/sounds/679104/,IlMotografo,"autumn-leaves, chestnut-leaves, footstep, gravel, ground, hiking, leaves, nature, path, step, walk","Sound of footsteps (hiking boots) on a bed of dry chestnut leaves about 40 centimetres thick. Crunching leaves, sounds of the forest in the distance (birds, wind, etc.). Walk at a fairly slow pace. Perfect for natural backgrounds. Recorded with a Zoom H1n held in hand and pointed at the ground."
00086.wav,train,Footstep,SingleStep,One-shot,560728,https://freesound.org/people/brumxyz/sounds/560728/,brumxyz,"feet, foot, footstep, slippers, step, walk",walking with slippers
00087.wav,train,Footstep,Walk,Multi-shot,518795,https://freesound.org/people/Sonicquinn/sounds/518795/,Sonicquinn,"crack, foot, footstep, freeze, frost, ice, puddle, snow, step, wet, winter",Walking on Frozen Puddles
00088.wav,train,Clothing,ClothMovement,One-shot,493371,https://freesound.org/people/Joao_Janz/sounds/493371/,Joao_Janz,"acessories, belt, blanket, body, buckle, cloth, cotton, fabric, foley, handling, leather, movement, natural, nylon, person, running, rustling, shaking, shirt, shuffling, soft, sound, sweater, textiles, trousers, walk",Recorded and processed at 24bit 48kHz using the Tascam DR-40 Linear PCM Recorder. Processing: Gain-staging and soft high and low frequency filtering. No EQ boost or cuts anywhere else. Also De-noised.
00089.wav,train,Open/Close-Mechanism,DoorOpenClose,Multi-shot,649844,https://freesound.org/people/korry999/sounds/649844/,korry999,"door, field",Opening and shutting my door
00090.wav,train,Footstep,Walk,Multi-shot,628400,https://freesound.org/people/melle_teich/sounds/628400/,melle_teich,"animal, autumn, dog, foliage, foot, footstep, leaves, outdoors, paw, paws, pawsteps, step, walk, winter, wolf, woods",Animal footsteps on dry leaves (forest floor). Recorded with Samson G-Track.
00091.wav,train,Liquid,Toilet,Multi-shot,257438,https://freesound.org/people/bormane/sounds/257438/,bormane,"bathroom, flush, toilet",toilet
00092.wav,train,Material-Interaction,PlasticRubbing,Multi-shot,757116,https://freesound.org/people/jcdeegs123/sounds/757116/,jcdeegs123,"crinkle, crinkling, crumple, crumpling, crush, crushing, plastic, plastics, ripping, squeeze, squeezing",Some old plastic wrapper I had in my bag being crumpled and crinkled.
00093.wav,train,Open/Close-Mechanism,DrawerOpenClose,One-shot,489724,https://freesound.org/people/ShadowSilhouette/sounds/489724/,ShadowSilhouette,"cabinet, closing, drawer",cabinet drawer closing
00094.wav,train,Material-Interaction,PencilWriting,Multi-shot,485304,https://freesound.org/people/Joao_Janz/sounds/485297/,Joao_Janz,"desk, drawing, foley, graffite, hit, hitting, pen, pencil, real, sound, table, writing",Recorded and processed at 24bit 96kHz using the Tascam DR-40 Linear PCM Recorder. Processing: Gain-staging and soft high and low frequency filtering. No EQ boost or cuts anywhere else. Also De-noised.
00095.wav,train,Footstep,Walk,Multi-shot,536770,https://freesound.org/people/doctorphil/sounds/536770/,doctorphil,"ambiance, feet, floor, footstep, shoe, shuffle, shuffling, stairs, walk, wooden","Recording of footsteps on a wooden floor, wearing shoes (Sneaky Petes). I walk from a solid wood floor to a corridor, up a short flight of stairs to another room with a laminated wood floor, then back to the first room. The ambiance changes slightly in the different rooms. I used an SM58 and an iRig Pro on an iPad using Garageband and mastered in Cubase."
00096.wav,train,Human,Breath,Multi-shot,108160,https://freesound.org/people/audione/sounds/108160/,audione,"breath, exhale, inhale, woman",Recording of a woman breathing
00097.wav,train,Footstep,Walk,Multi-shot,705748,https://freesound.org/people/felix.blume/sounds/705748/,felix.blume,"branch, desert, footstep, gravel, hum, pebble, road, sand, stepping, step, todossantos, twig, walk","Footsteps wearing sneakers stepping on sand, gravel pebble twig and branch in the desert with road hum Sound recorded by a MS setup Schoeps Microphone CCM41&amp;CCM8; Sound Devices 744T recorder MS is encoded in STEREO Left-Right Sound reference: KT_111117T008 Recorded in November 2011"
00098.wav,train,Click,Knock,Multi-shot,632211,https://freesound.org/people/golovlev.sound/sounds/632211/,golovlev.sound,"fast, foley, hand, knock, wood",Knocking with a fist on a wooden surface
